비속어|카테고리|text
비욕설|혐오|꼴랑 600만원에 무슨 취업이민 보장한다고 사기를 치노 ㅋㅋ
비욕설|일반|심뽀 더러운 인간들 많네젊은 청년이 열심히 하는게 참 대단하다 싶은데반면에 시기질투하는 인간들도 많을거야
비욕설|일반|헐… 오이지 정말 대단하다 대단해 지들 마음대로지 늘 그렇지 ㅎㅎ 참 대단한 회사야 소속사가 같이 도와서 해결하지 않고 그대로 내팽겨쳐버리네
비욕설|일반|사람이 변하나?
비욕설|일반|안경 벗고 완전 훈녀
욕설|혐오|ㅈㄹ들 사기를치던 절도를하던 깜방서 있어봐라 하루라도 빨리 나오고 싶은게 인간에 본성이다죄는미워하고 사람은 똑같다
비욕설|섹슈얼|그리고 상상한다 너와의 섹스를....
비욕설|혐오|♥기사에서 윤총경, 승리 다 전라도 동향으로 서로 술먹고, 골프하고 승리외 운영술집 영업정지외 계속 봐주고 . 태어나지 말고 분리되어야할 절라도♥
욕설|혐오|저걸 히죽거리며 얘기하노 씨발새끼
비욕설|일반|하나경씨힘내요~고집스러운 말에 상처받지않기를
욕설|혐오|세상사람들이 다 너처럼 개쓰레기같은 생각하고 사는게 아니란다 남들도 다 쓰레긴데 안그런척 하고 사는게 아니라 너만 쓰레긴거야
비욕설|일반|영애님 피부가 하애요~~ 이뻐요~~☆~
욕설|혐오|평균 학력 고졸따리 양아치 새끼들 상대하려니까 개빡쳤나보네
비욕설|섹슈얼|발레한애들이 죽인다던데.. 안나오는 자세없고 쪼임도 죽이구..
욕설|혐오|안보면 그만인데 굳이 그걸 찾아서 쳐보고 자빠진 우리 개돼지들 ㅋㅋㅋ
비욕설|일반|션 아님?
비욕설|섹슈얼|야 이게 최고의 엉덩이냐??? 졸라 빈약하구만
욕설|혐오|민폐존나심하네ㅜ 와..
비욕설|섹슈얼|게이 커플끼리 물고 빨고 박고 싸ㅋㅋ
비욕설|일반|세상은 바보처럼 살아가는거지
비욕설|섹슈얼|님들아 님들은 여친이랑 응응할때 여친이 갑자기 왜이렇게 살이 부드럽냐고 하면 어떤 생각들어? 난 그 이야기 듣자마자 얘가 업소녀인가 하는 생각들던대 평소 오랄스킬도 좋고 잘해서 그래서 살짝살짝 의심됏는대 갑자기 오빠 몇살 맞아 왜이렇게 살이 부드러워 하는대 그런 이야기 꼭 업소애들이나 했던거라서 혼란스럽다
비욕설|일반|완벽한타인의 준모부부가생각나네.전국민에게폰이공개된듯한 느낌?
비욕설|일반|빼빼로 데이인데 썸남한테 만들어줄까 그냥 살까?
비욕설|혐오|짱깨 조선족이세요? ㅠㅠ
비욕설|일반|애기 5살인데도 유모차를 태우는구나
비욕설|혐오|ㅋㅋㅋ 한국에서 더러운 불체자 태국넘들 개많은데 그 쉐리들도 일단 깜방보내ㅋㅋㅋ
비욕설|일반|여친, 남친에게 해주면 설렘지수 +1되는 피로회복 마사지
비욕설|일반|술 많이 먹으면 잇몸이 부어서 살짝만 건들여도 피남
욕설|혐오|븅신색히 싸잡아서 비난하는 대가리란 ㅋㅋ 그 대가리니 깨진게 복구가 안돼지 ㅋㅋ
비욕설|일반|요즘 푸른거탑 매일 업로드 하고 있는 디글입니다 :) 푸른거탑의 레전드 정진욱님 초대해주셔서 감사합니다~~! 그리고 푸른거탑 역주행 할 수 있게 사랑해주시는 시청자 여러분들도 감사드립니다!! 근황올림픽도 대박나세요 😄
비욕설|일반|으 술 너무 많이 마셨더니 대가리가 깨질것같아
비욕설|섹슈얼|이여자야 치사 하구나 니가 조심해야지 얘 가질려구 한것도 아니고 둘다 즐기려다 생긴거 생긴대로 났다가는 고아원 자리없다 억울하연 질투하지 말고 보란듯 잘살지
비욕설|일반|악이 기생하는 법
비욕설|일반|신품 때 섹시하신 것도 잘 어울렸는데 이 컨셉은 쪼금 아쉽네ㅋㅋ 그래도 예쁘심
비욕설|혐오|뭐 댓글들 상황 보니깐 ..박명수 마눌님은 여자로서 충분히 매력잇는 사람잇듯. 쿵쾅쿵쾅
욕설|섹슈얼|오늘 일해서 일당 벌었으면 가서 매독 걸린 니미 애미 보지 1000원 주고 실컷 쑤셔라 ㅋㅋ
비욕설|일반|서로 마주보고만 있어도 좋겠다~ 눈앞에 김소연이~눈앞에 이상우가 있으니
비욕설|일반|영화 기생충 봤음?
비욕설|일반|연기라고해도 그거 정말 남편 입장에서 굉장한 트라우마지..
비욕설|혐오|문재인은 양반이네..이 자슥은 뭔 멍멍이냐!!!!
비욕설|혐오|용접은 ㅎㅌㅊ 직업.7등급은 ㅆㅎㅌㅊ 빡대가리임.ㅎㅌㅊ과 ㅆㅎㅌㅊ끼리 싸움을 붙인 셈이니 그 강사가 잘못했다고 본다이기야
욕설|혐오|그래서 내가 아예 썅그지 동네도 개인택시 없으니 예시가 잘못됐다는 말인데 혼자 뭔 씹소리야
비욕설|일반|얼굴 몸매 모든게 아름다워요 세젤예행복하세요~~~
비욕설|일반|너무 기빨려
비욕설|일반|작가님 그래도 최진혁♡장나라 써니♡왕식으로 엮어주세요
비욕설|혐오|퐁퐁남이냐
욕설|혐오|집앞 교차로에서 항상 지랄을 한다. 점멸등도 아니고 신호가 계속 켜져있는 곳인데도 저 뒤에서부터 경박한 경적소리내면서 삑삑 삐삐삑 하고 바로 넘어가는 새끼들이 있는데 오늘도 어김없이 삣삑 삐삐삐삑 소리와 동시에 타이어 마찰소리 그리고 들린 가벼운 쿵턱 소리. 뭔지랄이고 허고 보니 노뚝 딸배새끼 자빠링했더라. 누군진 몰라도 배달이 잘 섞여가겠네 ㄲㄲ
비욕설|혐오|문털러는 파시스트!!!! 독재자 맞네!!! 문빠달창들이 구더기처럼 문털러를 덮고 우굴거리니!! 생각만해도 역겨워!!
비욕설|일반|순간 홍진영으로 보고 홍진영 숨겨진 딸이 있었나 했음...
비욕설|혐오|애기 진짜 안이쁘다...
비욕설|혐오|기생충들
비욕설|혐오|대가리에 필터없는 연봉 30억 강사vs대가리가 없는 용접공
비욕설|일반|진짜 세상에서 제일 부러운 삶이다,,백종원 사람 정말 너무 진국이던데,,,,부러워요 소유진 ㅠㅠ
욕설|혐오|지 랄 을 한다
비욕설|섹슈얼|노인네 그런식으로 보내지 마라. 진짜 달라고 할수도있다. 이 잔인한 놈들아! 보지 만지고 튀는게 보만튀다.
비욕설|일반|조현재가 드라마 하면 대부분 잘되던데연기도 잘하고 인품도 좋구 얼굴은 조각이구
비욕설|일반|조이얘기는 어케 한마디도 없는건지 .. 우도환한테 모든 책임을 다 떠넘기는것처럼 보이는 이느낌은 .. ㅉㅉ
비욕설|일반|이던현아 커플 진심 부럽고 이쁘고 응원해요
비욕설|일반|우리 믹키오빠 얼마나 맘고생 심했을까민지는 슬퍼요 ㅜ
비욕설|섹슈얼|손넣고 만지는게 보만튀가 아니고 자지가 닿아야 보만튀다. 그러니 걱정말고 손넣고 만져라
비욕설|섹슈얼|허리를 잘 움직여야돼? 엉덩이를 잘 움직여야돼? 천천히 박으면 괜찮은데 빠르게 피스톤질 하려하면 자꾸 흐름이 끊겨~
욕설|혐오|니같은 ㅂㅅ은 그럼 어디 들어가게? 개나소나 다 대기업 공기업 공무원되게?? 분수를 알고살아라잉~
비욕설|혐오|돼지같은 아줌마보다 훨씬 이쁨 ㅋㅋ
욕설|혐오|병신옆에는 병신들이침흘리면서 있다는걸 모르는뇬들이 있네..무조건 남자혐오증 걸리지말고연예인. 인기인이라면 빤쯔흘리는뇬들이 얼마나 많은지 모르나...
비욕설|일반|쾌차히시기를 기원합니다
비욕설|일반|바람난 여자친구 사람 고쳐 쓰는거 아니네
비욕설|일반|아빠닮으면 남편복있다던데
비욕설|혐오|어우 난 남잔데..저리 마른여자는 좀 징그럽더라 살좀있는여자가 건강미있어보이고 좋음
비욕설|일반|그냥 응원합니다
비욕설|혐오|3시에 폭탄터지는 소리들리길래 바로 깼는데 살인충동나더라.. 문열고 자다보니 윗집 한숨소리도 들리더라.... 집앞이 50키로구간인데 소리지나가는건 뭐 150 200달렸을거 같은데 cctv밭인데 여기 처벌방법없나? 경찰청 민원뿐인가 하아.. 그냥 사고로 뒤졌으면 왜 남한테 꼭 피해을 주는거지
비욕설|일반|예원이가 훨씬 어리고 훨씬 예쁨
비욕설|혐오|둘다 우파..태극기 틀딱들하고 똑같다 악의축
비욕설|일반|전자금융거래법위반 보이스피싱 혐의 대응책으로
비욕설|혐오|니가 하는 짓거리가 딱 설리야 그 뒤를 이어서 골로 가버려라스케치북이나 올리는 짓을 하냐
비욕설|일반|문재인
비욕설|혐오|그러니깐 여자를 잘만나야되~징글징글한것들 만나면 인생 끝가지 돌아가게 되는듯.. 근데 왜 다들 김새롬 편을들어.,,? 미친것들이
비욕설|일반|수수한 여자가 좋아
비욕설|일반|선예 그래도 리즈시절에 가창력만큼은 수준급이었죠? 태연에 비빌만 하죠?
비욕설|섹슈얼|뒷치기가 편하다구요? 다리길이가 안 맞아서 불편하ㄷㅇ
비욕설|일반|노무현 대통령
비욕설|혐오|역시여잔 이뻐야ㅋㅋㅋ자는 개빻은오타ㅅ들도 쓸곳이있는데 못생긴계집들은 쓸데가없ㅋㅋㄱㅋㅋ
비욕설|일반|여자한테 꽃이라는 표현은 좀 그렇네요
욕설|혐오|병신지잡대년 군대로꺼져
비욕설|혐오|이 두 튀기들 좀 안 나왔으면 좋겠네. 꼴배기 싫어 진짜...
비욕설|혐오|전라도랑은살기힘들지 차라리 강아지랑살지
욕설|혐오|고기김치만두 이새끼 좆병신 30대 중반 쓰레기놈이다.
비욕설|일반|저 매니저형도 그냥 같이 연예인 시켜주세요..ㅠㅠ 너무 잘생기고 인성도 좋고 너무 좋아요..
비욕설|일반|이엘리야 보면 혓바닥만 생각남 ㅠㅠㅠ
비욕설|혐오|죄책감은 해결하려 하지마 넌 원래 그런 새끼니 인정하면 쿨해져
비욕설|혐오|어딜가나 또라이들은 있음!
비욕설|일반|샤워하는데 창문 밖에서 소리나서 개쫄음
비욕설|일반|노래방 노잼
비욕설|일반|소나기 내려
욕설|혐오|페미련들 안뒤지냐? 난 그짝들 사상 알다가도 모르겠ㅋㅋ
비욕설|혐오|에휴 유사 씹쓰레기 국가 수준 ㅋㅋ
비욕설|일반|왕진진부인낸시랭님 결혼후 더 이뻐지셨네ㅎㅎ 왕진진♡낸시랭 알콩달콩 이쁜사랑하시면서 오래오래 행복하게 잘사세ㅎㅎ 과거는잊어버리시고 둘만의행복을찾아요 ㅎㅎ 그리고 네티즌말신경쓰지마세요
비욕설|일반|앞으로 이 아나는특별히 sns금지나 조심해야할듯.
비욕설|섹슈얼|일단 단점은 나이가 많다 근데 그걸 커버치고도 남을 쫙빠진 몸매...와우 모텔에서 술먹고 얘기 많이 나누다가 걔가 갑자기 키스하자고 한다 내가 솔직히 여태까지 뚱녀하고만 섹스해서 진짜 이런 몸매의 여자와 떡치니깐 완전 신세계야.... 뒤치기하면서 허리 딱 잡았는데 와우 착착감기ㅋㅋ 진짜 섹스할맛나더라..
욕설|혐오|ㅂㅅ 걸려서 병신 안되고 안뒤질라고 맞는거여….. 생물시간에 처 졸앗냐
비욕설|섹슈얼|여기는 젖었다 비는 무슨
비욕설|혐오|애초에유재석은 우리나라개돼지국민서으로나좋아할수있는인간상이고 개뿔재미도소신도없이게스트들빨아주는걸로 오래해먹었지. 돈도많이챙기면서매회이렇게지루하게진행하기도쉽지않음
비욕설|혐오|글쓴이 와꾸 승리에 비하면 방사능 피폭 원숭이 일듯..
비욕설|혐오|쪽빠리는 답없음
비욕설|일반|세월호 아이들도 생각해주세요
비욕설|혐오|양아치색기그래도팀이엿다면 그냥아닥하고살어왜바람핀거묻을려고?인성진자안좋다잉여자좋아하면다그러냐
비욕설|혐오|요즘 대한민국 돼지들이 많아져서 그런가? 저런 돼지 개그우먼들 나와서 아주 개판치고 다니네. 진짜 내 수신료로 왜 저런 혐오스런 생물들을 봐야하는건지,,,
욕설|혐오|새차 준다고 하니까 저 ㅈㄹ 하지 ㅅㅂ기
비욕설|일반|어금니 임플란트 나사만 박아두고 꼬매둔 상태라 다음주에 가서 실밥 푸는데요 그 전에도 임플란트 있는 쪽으로 씹어도 될까요????
비욕설|일반|쇼트트랙 최민정 선수 허벅지
비욕설|일반|드디어 돌아오는구나 ㅠㅠ 기다렸어요ㅠㅠ
비욕설|일반|이별 2일째.
비욕설|혐오|냅두지 왜 막았어요? 그래봤자 한남충 소리들을텐데..
비욕설|일반|함부로 뒤지면 안돼
비욕설|일반|노는 계집 창 이라고 영화 있다. 신은경 연기한거. 배경이 80 90년대 인데 저때랑 지금이랑 별다를게 없다.
욕설|혐오|니미 애미 씹보지 븅신아 ㅋㅋ
비욕설|섹슈얼|고추가 큰가봐
비욕설|혐오|이젠 뭐라해도 진심이 1도 읍다 달게 받기는..확인 안하면 질책도 안보고 못보니 니들은 떠들어라 난 다른 경로로 찝적이겠다 로 들린다 씨엔블루도 어차피 정용화 때문에 망했고 그냥 평생 면상 안봤으면
비욕설|일반|지금 홈쇼핑 보고 있는데 Ns홈쇼핑에서 안선영 나와서 화장품 방송 하는데 솔직히 내 이상형이다 성격이면 얼굴이며 몸매며 저런여자 만날려고 했는데 결국 못났지만 애로부부에서 하는거 보면 똑부러진 여자같더라
비욕설|혐오|다나 살 찐거 보고 나도 살 빼면 다나처럼 이뻐지겠지하며새벽에 양념치킨 먹다가 손가락에 묻은 앙념 빨아 먹는 메퇘지년들 생각나네 ㅎㅎ
비욕설|일반|문재인 탄핵 주장하는 젊은이가 더 많다
비욕설|일반|피어싱 할까?
욕설|혐오|애시당초 아무나 음식다먹는데 저걸 가지고 빠는새기들이 개특이한거임 노력안해도 돈을 쓸어 담앗으니 문화가 진짜 미개한 나라임 .힘들게 땀흘려 돈버는사람들 기만하는거지 .. 에혀
욕설|혐오|가만히 좀 있지 왜 얘기해서 통까흥 알고리즘 가동했네 씨발
비욕설|일반|너무 화면에서 자주 봐서 그런건지...연기톤이 일정한 느낌...
욕설|혐오|페미 다 뒈져도 안됨. 틀딱들 다 뒈지면 가능.
비욕설|혐오|하니 악플러들 악질로 유명한 시아준수 빠는 죄순이라던데.. 헤어졌음 좀 놔줘라 괜히 대중들 선동 말고!
욕설|혐오|어제 직원식당에서 쏘세지 배식 담당인 씬이 존나 웃겼는데 ㅋㅋ
비욕설|혐오|작가가 이렇게라도 주목받고 싶었나부네 저 중딩이름이 아이윤가요 미친색_끼 너네엄마 니네여동생 이름 써라
비욕설|일반|얼굴은 좀 평범해서 조연정도 유지할듯
비욕설|일반|역시 막장
비욕설|섹슈얼|여자 입술색이랑 유두색이랑 연관관계있더라
비욕설|혐오|작가 애도 성상납 했나, 어디서 주워 듣고 다 아는것 처름 애기하네, 푼수
비욕설|섹슈얼|결론은 네가 업소좀 다녀본 덕분에, 네 여친도 의심스럽다는 거자나? 역시 자기 업보는 자기한테 돌아오는 법인거지..
비욕설|일반|솔직히 지금 외압에 의해서 중국에서 별로 호응없는것처럼 보이는거지 실제로는 중국사람들 밥누나이야기 밖에 안한다 정해인 제대로 일 냈다!! 정해인 한류의 별로 떠오르는 중이다 대한민국 남자 No.1 정해인 사랑해요 정해인!!
비욕설|섹슈얼|마른봊이 맛좋지
비욕설|일반|위대한쇼가 더 잼나긴했어
비욕설|혐오|아니 쟤네 맨날 인스타 하고 맨날 싸돌아댕기는데 공부할 시간이 있나 싶어서 ㅋㅋㅋ
비욕설|일반|이 부부 애 생기면 걔는 이모가 김태희네....
비욕설|일반|전자금융거래법위반 억울한 보이스피싱 혐의에 연루된 사람들
비욕설|일반|아낌없이 퍼주는 스타일. 호구인걸까?
비욕설|일반|이쁘게 잘사겨서 나중에 좋은 결과있기를
비욕설|혐오|아무나 대출해주고 못갚으면 나라에서 갚아준다고? 미친것인가?개나소나 다 대출받것네
비욕설|혐오|HOT 팬들은 사람죽일 정도로 극성이였다든데
욕설|혐오|애미뒤졌노ㅋㅋㅋ
비욕설|혐오|기레기냐
비욕설|혐오|이하이 언제 월드스타되냐? 작고 못생긴 뚱보일뿐.월드스타는 될수없을듯..
비욕설|일반|감우성 연기 완전 대박 ㅠㅠ초딩 아들들이 울었네요ㅠㅠ최곱니다*!!!!
욕설|섹슈얼|fetcherx 여기에 n번방 노예년들 종목별로 다있음 죄다 개씹좆중고딩년이 대부분이고 자1위 몸에 좆집 암캐낙서쓰고 끝 오줌싸고 먹기 유두 쥐어뜯기 이게 다임그나마 10명중에 한두명 진짜 개좆꼴리게생긴 민짜라는게 꼴림포인트 똥베충들이 대부분 몰랐다는데 그게정상적임 딸칠거리조차안됨
비욕설|혐오|화장안하면 디게모쌩곀내
비욕설|혐오|설리공격한건 돼지년들아니냐
비욕설|일반|하나뿐인 정상 고래엄마
비욕설|일반|어휴 ....임하룡 선생님 땐 예능이 이렇지 않았는데 그립습니다 임짱
욕설|혐오|아님 자식을 낳지말든가 ㅅㅂ나 가난하면서 뭐 서로 사랑하는 마음만 있으면 돼?? 옌병 그렇게 골빈것들끼리 결혼하고 애새끼 낳았어.. 애새끼는 뭔 죄냐? 고통스럽게 가난을 물려줄뿐이야
욕설|혐오|병신 조개갖고 ㅈㄹ는 태콩이나 개촐싹대는조샌징들이나 ㅈㄴㅋㅋㅋ
비욕설|일반|형 진짜 너무 고마워 항상 동기부여는 형이 최고야 형도 우릴 통해서 동기부여 받고 항상 힘내길 바래 다 필요 없고 사랑해
비욕설|일반|허벅지 따뜻하길래 내려다 봤더니 용접 불똥에 ^^
비욕설|혐오|김태리 넘 안이뻐....코도 낮고 좀 촌스럽게 생김...여주맞기엔 넘......왜이렇게 띄어주고 여기저기 나오지??
비욕설|혐오|역시 여자는 젊고 싱싱한게 최고여 나이 30넘은 아줌매들은 쳐다도 보지 말그라잉 ~
비욕설|일반|딴 일 찾아볼까
욕설|혐오|ㅋㅋㅋ떨어졌냐??? 뭐만하면 기어들어와 ㅉㅉ 연기하다가 또 니상황 ㅈ다싶으면 그냥 또 토낄려고???이순재 배우가 너 그딴식으로 해서 싫어하는거야. 이쁜척은 졸라 해대면서 책임감 없는년
비욕설|일반|스포걱정은 안하셔도 됩니다. 본 사람도 뭘 스포해야할지 모르거든.
비욕설|일반|마음도 몸도 아름다운 방탄소년단 지민이다!
비욕설|섹슈얼|보자로 시작하는 곳에서 오징어냄새나는 성별 특징 : bo적뽀 시전할 생각에 들떠서 기분좋아하면서 이쁘고 어린 아나운서 물어뜯는중
비욕설|섹슈얼|잠깐이야 정 싫으면 몸 아프다고 고충 써 괜히 노조 뒷받침 없어 꼰지르다간 그 소문은 니랑 평생감 근무 얼마나 했는지 모르지만 정의감? 다 부질 없어 걍 피하고 굿이나 보고 떡이나 먹어~
비욕설|일반|아 좋다 둘이 너무 잘어울린다 실제로 사귀면 좋을듯
비욕설|섹슈얼|초대남으로 가서 해봤는데 잘하고 자지 큰 형 있으면 기 죽어 ㅋㅋㅋ 한번은 갔는데 몸도 좋고 자지도 크고 잘하닌깐 그 형한테는 계속 다음에 또 초대할게 하는데 나한테는 안하더라.
비욕설|일반|행동대장 크게 다쳐서 은퇴했다 했는데 저 싸움인듯
비욕설|혐오|요즘 나비탕 잘 안팔리노 각자 개성에 맞게 키우면 되지 뭘그리 홍보질인데 무슨 아이돌빠순년인줄 알았네 ㅋㅋ
욕설|혐오|메퇘지들 역겹누 ㅋㅋㅋ 설리가 받은 악플들 대부분은 '그 분'들이었다지 이번에 최자 욕하는 분들도 역시 '그 분'들 어우 역겨워 역겨워 '그 분'들 이번에 김희철 잘못 건들였다가 무더기 고소 당했던데 인실좆좀 느껴봐라
비욕설|혐오|조선 수준나옴 힘들게 일하면 대우받는게 당연한건데
비욕설|일반|시어머니가 넘 좋으시네
비욕설|섹슈얼|일주일간 야동 딸딸이 금지 하고 다시 봐바라
비욕설|일반|축하해요^^ 착한사람. 행복하게 살아요
비욕설|섹슈얼|몸매 미끈한 여자들이야말로 남자에게 최고지
비욕설|일반|사전개봉으로 봤는데 무슨 소린지 모르겠는데 재밌긴 함 ㅋㅋ 한번 더 봐야지
비욕설|일반|민머리하니까 더 잘생겨보여요
비욕설|일반|그거 돌아갈때가 오히려 좋을때야.. 나중에 그거 봐도 감흥도 없어지면, 오히려 내가 진짜 늙었나? 싶어져서 우울해짐..
비욕설|혐오|아무리 떠들어대도 큰 거대 여당에서 이끌어주지 않으면 나락에 빠지는게 이 나라 정치인의 운명임...얼마나 문재인이 돈 빵빵 쓰고도 제대로 못하면 이런 정책에 국민들이 응원하는지 반성해야됨 문재인 정부 여당 대깨문들은 ㅋ
비욕설|일반|음 나쁠건없는데 이왕이면 산불난 지역에기부하지
비욕설|혐오|와진짜 한국냄저비만률좀;;; ㅈㄴ겨워
욕설|혐오|아직 한국여자랑 결혼하는 등신이 있냐
비욕설|일반|아무 것도 하기 싫어
비욕설|일반|영화의 참신함은 있지만 연출이 메멘토나 인셉션 정도는 아님. 거기에 나온 단어에 집중하기 보다 상황을 이해하면 좀 더 이해가 쉬움.
비욕설|일반|오후에 가면 사람들 많이 없어서 좋긴한데.. 눈이 심심하고 저녁 이후에 가면 사람들 많아서 별론데 대신 레깅스 입은 처자들 많아서 즐거움 오후에 갈지 저녁에 갈지 고민된다.
비욕설|일반|알았다 고마해라
비욕설|혐오|좌빨들 하는짓거리 초등생 다구리 터는것보다 유치짬뽕이다
비욕설|섹슈얼|저런 여자는 내 자식을 잔득 넣어줘야 정신을 차리지
비욕설|일반|좀 오글거리는 대사도 박보검 송혜교 담백하게 연기 잘하더라. 설레는거 좋아~
비욕설|혐오|솔직히 이육대편 딱 하나는 b급 컨텐츠로 재밌게 볼 수 있고 공감을 얻을만했다고 생각하는데 이전/이후로는 씹노잼에 뭔 재미인지 알수가 없음 펭수 자체의 드립력도 노잼이고 컨텐츠도 노잼임
비욕설|일반|스시먹으러 가자 스시 안먹은지 오래됐다
비욕설|일반|아니 무엇보다 그냥 안재현미모가 젤 오짐
욕설|섹슈얼|부랄친구 부랄 존나빨고 키스하고 똥꼬에서 나오는 똥도 숟가락으로 퍼먹는다는 상상
비욕설|혐오|하여튼 구하라욕하는 메갈 페미년들은 정신좀차려라 지들인생이나 걱정하지 뭔악플ㅋㅋ라구 화이팅~!
욕설|섹슈얼|145 얘 얼굴 보고 바로 싸버렸다 시발 젖나 꼴리네 얼굴보고 ㅆ ㅏ기는 처음인듯
비욕설|일반|침대에 누우면 바로 자
비욕설|혐오|퇴물배우 정지훈이나 외모가 지나치게 과대포장된 원조 발연기자 김태희 아줌마
욕설|혐오|팁엔도 소속사도 전부 안재현 편인데 이길수가 없지. 그렇게 사람을 ㅂ.ㅅ. 만드는데 가만히 있을 줄 알았나. 소설 한 편 잘 썼ㅋㅋ작홍보 잘 했네. 쫄리긴 쫄렸나봐?
비욕설|일반|김보라 이쁘네
비욕설|일반|지하철에서 다리 벌리고 앉으면 안돼
비욕설|일반|대다수 국민들이 속으로는 마닷 좋아하고 응원하면서 앞으로 잘하라는 의미에서 괜히 질책하는겁니다 마닷 화이팅 ~ !!
비욕설|섹슈얼|유학생 시절에 여친 집에서 에펠탑 보면서 뒤치기할 때가 좋았다
비욕설|일반|서성은이랑 김기명 같은 아버지네
비욕설|혐오|현실은 거미한테 발려 광탈당한 사ㅋㅋㅋ 바지가왕도 이석훈 실력에 차고 넘치는데 이런 애가 6승이라는건 그만큼 라인업이 쪽팔리는 수준이라는거지. 이석훈 얘도그렇고 규현도 그렇고 개나소나 5승 6승 ㅋㅋㅋ
비욕설|혐오|이휘재 드디어 나갔냐? 이휘재 꼴 보기 싫어서 안봤는데 다시 봐야겠네~
비욕설|일반|귀가 간지러
욕설|혐오|좃 때라 쫄보새퀴야
비욕설|일반|이뻐요 언니
비욕설|일반|자동차 실내 랩핑 올드함을 벗다
욕설|혐오|유재석이는 징징되면서 억지로할거같음. 가식세끼
욕설|혐오|문재앙은 언제죽냐 범죄ㅅㄲ이 명줄은길더라
비욕설|일반|역시 조보아~~!!역시 마인드하나는 최고야!!
비욕설|혐오|토요일 저녁 황금시간대에 겨우 12% 나왔다고 기뻐하고 난리네 ㅋㅋ 난 그시간에 백년손님 봤는데 후회 안한다. 저능아 컨셉 예능은 이제 질려서 못보겠다.
비욕설|일반|좀 못하긴했어도 이정도까지 논란될 정도는 아닌듯애초에 신인이고 그냥 쌩라이브였는데 에코없이물론 더 잘했으면 좋았었겠지만 너무 까는것같아서 좀 그렇다
욕설|혐오|꺼져 뚱 녀 ㅅㅐ 끼들아 웹툰판 망치지말고 ㅆ™ㅂ~
비욕설|일반|6년그리고남은 것들
비욕설|혐오|애초부터 김용호 걔는 <기생충>도 종북좌파의 산물이라고 말같지 않는 개소릴해대는 놈이어서 믿고 걸렀다.
비욕설|일반|나는월세1000만원에70십네고사러 아들만셋.. 탁씨얘기보니까나두거기가서살구싶다..현실적이면
비욕설|혐오|얼굴을 갈아 엎었네
비욕설|일반|잘 어울린다 ㅠㅠ 송혜교 보단 김지원이랑 분위기가 어울린듯
비욕설|일반|온 국민이 똑같은 생각과 똑같은 말만 해야하는겁니까?
욕설|혐오|미친새끼 이새끼는 똑같은 글을 정기적으로 올리냐?? 세상 병신같은놈
비욕설|일반|ㅋㅋㅋ 웃긴건 현재날씨도 못맞추고있음
비욕설|혐오|계집애 종특 그대로 표현했네 ㅋㅋ 남태현 장하다 남자가 그럴수도잇지 ㅋㅋㅋ
비욕설|일반|일베는 안하는걸 추천해
욕설|섹슈얼|미안하다.. 근데 진짜로 몸매가 30대몸매ㅋㅋ 존나좋아 진짜레알 아니 축쳐져있으면 내가 도망가지 왜만나겠냐? 진짜 보지도 존나맛있어 하
비욕설|일반|사랑에 빠진 왈가닥 기생
비욕설|혐오|야구할때도 약속한 플레이하자고 저런 제스쳐하는데 이제 저런손모양 하기만하면 기사나겄네;기레기수준 잘봄
비욕설|혐오|장윤정이 담주 전설이 웬말이냐...막장으로가네...그리고 판정단 입장시킬때 귀지확인하고 입장시켜라...막귀들만있나...박기영 빼고 다 그냥 쑈다
비욕설|섹슈얼|여친이 똥까시 해준이후로 나도 잘해주고있다...
비욕설|혐오|쿵쾅이들 열폭하는거 보니 웰메이드 드라마가 확실하네
비욕설|일반|장도연 고정되면 대상받을듯
비욕설|혐오|김치녀.한녀는 절대 가질수없는 몸무게지
비욕설|섹슈얼|아무리 그래도 그렇치 임마. 엄마한데 오_나홀 이모티콘을 보내면 어떻하냐? 임마.
욕설|혐오|이런 인간이 왜 대선주자선호도1위인지모르겠다 전부 그지ㄲ ㅣ들만모였나 국민이 한심스럽다
비욕설|섹슈얼|자위할 때 만큼은 여자가 되고 싶다 딸치면 찍싸고 끝이고 현타 ㅈㄴ고 개피곤.. 딜도와 진동만 있음 오르가즘 계속 느끼고 현타도 안오니 좋겠다. ㅜ
비욕설|일반|함소원 예쁘다. 두분이 점점 닮아가시네요.
비욕설|일반|외이도염 있는 상태에서 고막에 구멍이 있으면 큰 문제는 없을까요?
욕설|혐오|바세린 으로 어그로 끌던 sbs 에 놀아나는 개돼지들많더라 어휴당연히 타고나는게 중요하다 나는 비타민은 안먹지만 마그네슘 아연 등 효과 봤고음식 으로 섭취했을경우 전혀효과못봄 존나쳐먹었는데 앞으로 비타민b 하고 오메가3 도 먹을거다비타민 d c 는 모르겠다
욕설|혐오|아침에 위치알려주는거만큼 짜증나는일이 없음.개병신새끼들 주소를 주고 근처건물위치 알려줘도 어디냐고 전화꼭한다
욕설|혐오|헬짱깨 종이호랑이 에미뒤진 년을 사시미로 토막내고 도려낸 다음에 마체테로 찢어죽여버려
비욕설|혐오|이분은 자기 좋을때로 해석하는병 있는듯 님이 적폐임
비욕설|일반|정말 자살일까.. 유서도 없고 자살을 했다는 정황도 없는데.. 우울증치료를 받았다는 이유만으로 자살핬다는건 왠지 의심스럽다
비욕설|일반|너무 기엽다 증말..!!
